Configuration,Accuracy
"[40, 10, 10, 0.9]",0.1025
"[40, 20, 0, 0.1]",0.1135
"[40, 20, 0, 0.2]",0.1135
"[40, 20, 0, 0.30000000000000004]",0.1135
"[40, 20, 0, 0.4]",0.101
"[40, 20, 0, 0.5]",0.101
"[40, 20, 0, 0.6]",0.101
"[40, 20, 0, 0.7000000000000001]",0.101
"[40, 20, 0, 0.8]",0.101
"[40, 20, 0, 0.9]",0.101
"[40, 20, 10, 0.1]",0.6878
"[40, 20, 10, 0.2]",0.5293
"[40, 20, 10, 0.30000000000000004]",0.2047
"[40, 20, 10, 0.4]",0.2378
"[40, 20, 10, 0.5]",0.205
"[40, 20, 10, 0.6]",0.1599
"[40, 20, 10, 0.7000000000000001]",0.3314
"[40, 20, 10, 0.8]",0.1492
"[40, 20, 10, 0.9]",0.0958
"[40, 30, 0, 0.1]",0.1135
"[40, 30, 0, 0.2]",0.1135
"[40, 30, 0, 0.30000000000000004]",0.1135
"[40, 30, 0, 0.4]",0.101
"[40, 30, 0, 0.5]",0.101
"[40, 30, 0, 0.6]",0.101
"[40, 30, 0, 0.7000000000000001]",0.101
"[40, 30, 0, 0.8]",0.101
"[40, 30, 0, 0.9]",0.101
"[40, 30, 10, 0.1]",0.6737
"[40, 30, 10, 0.2]",0.3088
"[40, 30, 10, 0.30000000000000004]",0.2265
"[40, 30, 10, 0.4]",0.2039
"[40, 30, 10, 0.5]",0.2514
"[40, 30, 10, 0.6]",0.1737
"[40, 30, 10, 0.7000000000000001]",0.101
"[40, 30, 10, 0.8]",0.1307
"[40, 30, 10, 0.9]",0.2593
"[40, 40, 0, 0.1]",0.1135
"[40, 40, 0, 0.2]",0.1135
"[40, 40, 0, 0.30000000000000004]",0.1135
"[40, 40, 0, 0.4]",0.101
"[40, 40, 0, 0.5]",0.101
"[40, 40, 0, 0.6]",0.101
"[40, 40, 0, 0.7000000000000001]",0.101
"[40, 40, 0, 0.8]",0.101
"[40, 40, 0, 0.9]",0.101
"[40, 40, 10, 0.1]",0.7533
"[40, 40, 10, 0.2]",0.3157
"[40, 40, 10, 0.30000000000000004]",0.3093
"[40, 40, 10, 0.4]",0.2761
"[40, 40, 10, 0.5]",0.1948
"[40, 40, 10, 0.6]",0.098
"[40, 40, 10, 0.7000000000000001]",0.2111
"[40, 40, 10, 0.8]",0.1889
"[40, 40, 10, 0.9]",0.098
"[60, 0, 0, 0.1]",0.1135
"[60, 0, 0, 0.2]",0.1135
"[60, 0, 0, 0.30000000000000004]",0.1135
"[60, 0, 0, 0.4]",0.101
"[60, 0, 0, 0.5]",0.101
"[60, 0, 0, 0.6]",0.101
"[60, 0, 0, 0.7000000000000001]",0.101
"[60, 0, 0, 0.8]",0.101
"[60, 0, 0, 0.9]",0.101
"[60, 0, 10, 0.1]",0.1135
"[60, 0, 10, 0.2]",0.1135
"[60, 0, 10, 0.30000000000000004]",0.1135
"[60, 0, 10, 0.4]",0.101
"[60, 0, 10, 0.5]",0.101
"[60, 0, 10, 0.6]",0.101
"[60, 0, 10, 0.7000000000000001]",0.101
"[60, 0, 10, 0.8]",0.101
"[60, 0, 10, 0.9]",0.101
"[60, 10, 0, 0.1]",0.1135
"[60, 10, 0, 0.2]",0.1135
"[60, 10, 0, 0.30000000000000004]",0.1135
"[60, 10, 0, 0.4]",0.101
"[60, 10, 0, 0.5]",0.101
"[60, 10, 0, 0.6]",0.101
"[60, 10, 0, 0.7000000000000001]",0.101
"[60, 10, 0, 0.8]",0.101
"[60, 10, 0, 0.9]",0.101
"[60, 10, 10, 0.1]",0.601
"[60, 10, 10, 0.2]",0.3915
"[60, 10, 10, 0.30000000000000004]",0.3317
"[60, 10, 10, 0.4]",0.2144
"[60, 10, 10, 0.5]",0.0928
"[60, 10, 10, 0.6]",0.2074
"[60, 10, 10, 0.7000000000000001]",0.101
"[60, 10, 10, 0.8]",0.1665
"[60, 10, 10, 0.9]",0.101
"[60, 20, 0, 0.1]",0.1135
"[60, 20, 0, 0.2]",0.1135
"[60, 20, 0, 0.30000000000000004]",0.1135
"[60, 20, 0, 0.4]",0.101
"[60, 20, 0, 0.5]",0.101
"[60, 20, 0, 0.6]",0.101
"[60, 20, 0, 0.7000000000000001]",0.101
"[60, 20, 0, 0.8]",0.101
"[60, 20, 0, 0.9]",0.101
"[60, 20, 10, 0.1]",0.6521
"[60, 20, 10, 0.2]",0.4894
"[60, 20, 10, 0.30000000000000004]",0.4034
"[60, 20, 10, 0.4]",0.191
"[60, 20, 10, 0.5]",0.3034
"[60, 20, 10, 0.6]",0.1193
"[60, 20, 10, 0.7000000000000001]",0.1028
"[60, 20, 10, 0.8]",0.1267
"[60, 20, 10, 0.9]",0.2062
"[60, 30, 0, 0.1]",0.1135
"[60, 30, 0, 0.2]",0.1135
"[60, 30, 0, 0.30000000000000004]",0.1135
"[60, 30, 0, 0.4]",0.101
"[60, 30, 0, 0.5]",0.101
"[60, 30, 0, 0.6]",0.101
"[60, 30, 0, 0.7000000000000001]",0.101
"[60, 30, 0, 0.8]",0.101
"[60, 30, 0, 0.9]",0.101
"[60, 30, 10, 0.1]",0.6885
"[60, 30, 10, 0.2]",0.3864
"[60, 30, 10, 0.30000000000000004]",0.3948
"[60, 30, 10, 0.4]",0.2806
"[60, 30, 10, 0.5]",0.1362
"[60, 30, 10, 0.6]",0.2407
"[60, 30, 10, 0.7000000000000001]",0.1646
"[60, 30, 10, 0.8]",0.1156
"[60, 30, 10, 0.9]",0.1032
"[60, 40, 0, 0.1]",0.1135
"[60, 40, 0, 0.2]",0.1135
"[60, 40, 0, 0.30000000000000004]",0.1135
"[60, 40, 0, 0.4]",0.101
"[60, 40, 0, 0.5]",0.101
"[60, 40, 0, 0.6]",0.101
"[60, 40, 0, 0.7000000000000001]",0.101
"[60, 40, 0, 0.8]",0.101
"[60, 40, 0, 0.9]",0.101
"[60, 40, 10, 0.1]",0.8142
"[60, 40, 10, 0.2]",0.5384
"[60, 40, 10, 0.30000000000000004]",0.4669
"[60, 40, 10, 0.4]",0.2509
"[60, 40, 10, 0.5]",0.2613
"[60, 40, 10, 0.6]",0.3011
"[60, 40, 10, 0.7000000000000001]",0.1975
"[60, 40, 10, 0.8]",0.2108
"[60, 40, 10, 0.9]",0.1135
"[80, 0, 0, 0.1]",0.1135
"[80, 0, 0, 0.2]",0.1135
"[80, 0, 0, 0.30000000000000004]",0.1135
"[80, 0, 0, 0.4]",0.101
"[80, 0, 0, 0.5]",0.101
"[80, 0, 0, 0.6]",0.101
"[80, 0, 0, 0.7000000000000001]",0.101
"[80, 0, 0, 0.8]",0.101
"[80, 0, 0, 0.9]",0.101
"[80, 0, 10, 0.1]",0.1135
"[80, 0, 10, 0.2]",0.1135
"[80, 0, 10, 0.30000000000000004]",0.1135
"[80, 0, 10, 0.4]",0.101
"[80, 0, 10, 0.5]",0.101
"[80, 0, 10, 0.6]",0.101
"[80, 0, 10, 0.7000000000000001]",0.101
"[80, 0, 10, 0.8]",0.101
"[80, 0, 10, 0.9]",0.101
"[80, 10, 0, 0.1]",0.1135
"[80, 10, 0, 0.2]",0.1135
"[80, 10, 0, 0.30000000000000004]",0.1135
"[80, 10, 0, 0.4]",0.101
"[80, 10, 0, 0.5]",0.101
"[80, 10, 0, 0.6]",0.101
"[80, 10, 0, 0.7000000000000001]",0.101
"[80, 10, 0, 0.8]",0.101
"[80, 10, 0, 0.9]",0.101
"[80, 10, 10, 0.1]",0.5608
"[80, 10, 10, 0.2]",0.4448
"[80, 10, 10, 0.30000000000000004]",0.2027
"[80, 10, 10, 0.4]",0.2201
"[80, 10, 10, 0.5]",0.1665
"[80, 10, 10, 0.6]",0.3063
"[80, 10, 10, 0.7000000000000001]",0.2556
"[80, 10, 10, 0.8]",0.1135
"[80, 10, 10, 0.9]",0.2478
"[80, 20, 0, 0.1]",0.1135
"[80, 20, 0, 0.2]",0.1135
"[80, 20, 0, 0.30000000000000004]",0.1135
"[80, 20, 0, 0.4]",0.101
"[80, 20, 0, 0.5]",0.101
"[80, 20, 0, 0.6]",0.101
"[80, 20, 0, 0.7000000000000001]",0.101
"[80, 20, 0, 0.8]",0.101
"[80, 20, 0, 0.9]",0.101
"[80, 20, 10, 0.1]",0.5972
"[80, 20, 10, 0.2]",0.3131
"[80, 20, 10, 0.30000000000000004]",0.3483
"[80, 20, 10, 0.4]",0.2472
"[80, 20, 10, 0.5]",0.2457
"[80, 20, 10, 0.6]",0.101
"[80, 20, 10, 0.7000000000000001]",0.1282
