Configuration,Accuracy,Train Error
"[85, 30, 10, 0.41000000000000003]",0.3871,0.37384
"[85, 30, 10, 0.51]",0.2753,0.26734
"[85, 30, 10, 0.6100000000000001]",0.098,0.09864
"[85, 30, 10, 0.7100000000000001]",0.1729,0.17038
"[85, 30, 10, 0.81]",0.1352,0.1365
"[85, 30, 10, 0.91]",0.101,0.10202
"[85, 50, 10, 0.01]",0.7654,0.77058
"[85, 50, 10, 0.11]",0.7009,0.69902
"[85, 50, 10, 0.21000000000000002]",0.2764,0.28078
"[85, 50, 10, 0.31000000000000005]",0.3139,0.31696
"[85, 50, 10, 0.41000000000000003]",0.2602,0.26242
"[85, 50, 10, 0.51]",0.1442,0.13808
"[85, 50, 10, 0.6100000000000001]",0.3031,0.3054
"[85, 50, 10, 0.7100000000000001]",0.1362,0.13646
"[85, 50, 10, 0.81]",0.2487,0.24606
"[85, 50, 10, 0.91]",0.1154,0.11556
"[100, 10, 10, 0.01]",0.751,0.7558
"[100, 10, 10, 0.11]",0.5277,0.52786
"[100, 10, 10, 0.21000000000000002]",0.2038,0.21816
"[100, 10, 10, 0.31000000000000005]",0.2533,0.26198
"[100, 10, 10, 0.41000000000000003]",0.2655,0.25944
"[100, 10, 10, 0.51]",0.1028,0.1035
"[100, 10, 10, 0.6100000000000001]",0.1016,0.10246
"[100, 10, 10, 0.7100000000000001]",0.1014,0.10242
"[100, 10, 10, 0.81]",0.1063,0.10684
"[100, 10, 10, 0.91]",0.101,0.10202
"[100, 30, 10, 0.01]",0.7623,0.76664
"[100, 30, 10, 0.11]",0.557,0.56888
"[100, 30, 10, 0.21000000000000002]",0.4585,0.46642
"[100, 30, 10, 0.31000000000000005]",0.2596,0.25262
"[100, 30, 10, 0.41000000000000003]",0.101,0.10204
"[100, 30, 10, 0.51]",0.098,0.09862
"[100, 30, 10, 0.6100000000000001]",0.1553,0.15614
"[100, 30, 10, 0.7100000000000001]",0.1701,0.1731
"[100, 30, 10, 0.81]",0.2874,0.28768
"[100, 30, 10, 0.91]",0.112,0.11126
"[100, 50, 10, 0.01]",0.8316,0.8384
"[100, 50, 10, 0.11]",0.5672,0.57052
"[100, 50, 10, 0.21000000000000002]",0.3357,0.32938
"[100, 50, 10, 0.31000000000000005]",0.3224,0.30974
"[100, 50, 10, 0.41000000000000003]",0.2616,0.25946
"[100, 50, 10, 0.51]",0.101,0.10202
"[100, 50, 10, 0.6100000000000001]",0.098,0.09864
"[100, 50, 10, 0.7100000000000001]",0.1791,0.17942
"[100, 50, 10, 0.81]",0.1857,0.17942
"[100, 50, 10, 0.91]",0.1937,0.19318
"[115, 10, 10, 0.01]",0.5439,0.54862
"[115, 10, 10, 0.11]",0.5043,0.49998
"[115, 10, 10, 0.21000000000000002]",0.5154,0.50822
"[115, 10, 10, 0.31000000000000005]",0.2471,0.23646
"[115, 10, 10, 0.41000000000000003]",0.1011,0.1021
