Model,Accuracy,Precision,Recall,F1,ROC_AUC,Train Error,Test Error,n_estimators,max_depth
"RandomForestClassifier(max_depth=8, n_estimators=6)",0.6043956043956044,0.4,0.3225806451612903,0.3571428571428571,0.6314516129032258,Train error: 0.027100271002710064,Test error: 0.39560439560439564,6,8
"RandomForestClassifier(max_depth=9, n_estimators=6)",0.5934065934065934,0.38461538461538464,0.3225806451612903,0.3508771929824561,0.675,Train error: 0.054200542005420016,Test error: 0.4065934065934066,6,9
"RandomForestClassifier(max_depth=1, n_estimators=7)",0.6593406593406593,0.0,0.0,0.0,0.6752688172043011,Train error: 0.33333333333333337,Test error: 0.34065934065934067,7,1
"RandomForestClassifier(max_depth=2, n_estimators=7)",0.6263736263736264,0.42857142857142855,0.2903225806451613,0.34615384615384615,0.6693548387096774,Train error: 0.22764227642276424,Test error: 0.37362637362637363,7,2
"RandomForestClassifier(max_depth=3, n_estimators=7)",0.6483516483516484,0.47058823529411764,0.25806451612903225,0.3333333333333333,0.6661290322580645,Train error: 0.23035230352303526,Test error: 0.3516483516483516,7,3
"RandomForestClassifier(max_depth=4, n_estimators=7)",0.6703296703296703,0.5172413793103449,0.4838709677419355,0.5000000000000001,0.6983870967741935,Train error: 0.19783197831978316,Test error: 0.3296703296703297,7,4
"RandomForestClassifier(max_depth=5, n_estimators=7)",0.6923076923076923,0.5714285714285714,0.3870967741935484,0.4615384615384615,0.6715053763440859,Train error: 0.15718157181571812,Test error: 0.3076923076923077,7,5
"RandomForestClassifier(max_depth=6, n_estimators=7)",0.6483516483516484,0.4782608695652174,0.3548387096774194,0.40740740740740744,0.6631720430107526,Train error: 0.12466124661246614,Test error: 0.3516483516483516,7,6
"RandomForestClassifier(max_depth=7, n_estimators=7)",0.6703296703296703,0.5185185185185185,0.45161290322580644,0.48275862068965514,0.6706989247311828,Train error: 0.10027100271002709,Test error: 0.3296703296703297,7,7
"RandomForestClassifier(max_depth=8, n_estimators=7)",0.6813186813186813,0.5384615384615384,0.45161290322580644,0.4912280701754386,0.6717741935483871,Train error: 0.05962059620596205,Test error: 0.31868131868131866,7,8
"RandomForestClassifier(max_depth=9, n_estimators=7)",0.6263736263736264,0.42105263157894735,0.25806451612903225,0.31999999999999995,0.5887096774193548,Train error: 0.046070460704607075,Test error: 0.37362637362637363,7,9
"RandomForestClassifier(max_depth=1, n_estimators=8)",0.7032967032967034,0.75,0.1935483870967742,0.30769230769230765,0.6935483870967742,Train error: 0.29539295392953935,Test error: 0.29670329670329665,8,1
"RandomForestClassifier(max_depth=2, n_estimators=8)",0.6593406593406593,0.5,0.22580645161290322,0.3111111111111111,0.7153225806451613,Train error: 0.2195121951219512,Test error: 0.34065934065934067,8,2
"RandomForestClassifier(max_depth=3, n_estimators=8)",0.6593406593406593,0.5,0.4838709677419355,0.4918032786885246,0.6631720430107527,Train error: 0.21409214092140927,Test error: 0.34065934065934067,8,3
"RandomForestClassifier(max_depth=4, n_estimators=8)",0.6593406593406593,0.5,0.3548387096774194,0.41509433962264153,0.6559139784946236,Train error: 0.1869918699186992,Test error: 0.34065934065934067,8,4
"RandomForestClassifier(max_depth=5, n_estimators=8)",0.6593406593406593,0.5,0.45161290322580644,0.47457627118644063,0.7010752688172043,Train error: 0.1382113821138211,Test error: 0.34065934065934067,8,5
"RandomForestClassifier(max_depth=6, n_estimators=8)",0.6813186813186813,0.5416666666666666,0.41935483870967744,0.4727272727272728,0.6758064516129032,Train error: 0.12737127371273715,Test error: 0.31868131868131866,8,6
"RandomForestClassifier(max_depth=7, n_estimators=8)",0.6483516483516484,0.47619047619047616,0.3225806451612903,0.3846153846153846,0.6198924731182796,Train error: 0.06233062330623307,Test error: 0.3516483516483516,8,7
"RandomForestClassifier(max_depth=8, n_estimators=8)",0.6703296703296703,0.5217391304347826,0.3870967741935484,0.4444444444444444,0.7150537634408602,Train error: 0.054200542005420016,Test error: 0.3296703296703297,8,8
"RandomForestClassifier(max_depth=9, n_estimators=8)",0.6813186813186813,0.5384615384615384,0.45161290322580644,0.4912280701754386,0.6612903225806451,Train error: 0.035230352303523005,Test error: 0.31868131868131866,8,9
"RandomForestClassifier(max_depth=1, n_estimators=9)",0.6483516483516484,0.3333333333333333,0.03225806451612903,0.0588235294117647,0.6478494623655914,Train error: 0.3035230352303523,Test error: 0.3516483516483516,9,1
"RandomForestClassifier(max_depth=2, n_estimators=9)",0.6373626373626373,0.4444444444444444,0.25806451612903225,0.32653061224489793,0.6586021505376344,Train error: 0.2384823848238482,Test error: 0.3626373626373627,9,2
"RandomForestClassifier(max_depth=3, n_estimators=9)",0.6813186813186813,0.5416666666666666,0.41935483870967744,0.4727272727272728,0.6922043010752689,Train error: 0.19241192411924124,Test error: 0.31868131868131866,9,3
"RandomForestClassifier(max_depth=4, n_estimators=9)",0.6593406593406593,0.5,0.3548387096774194,0.41509433962264153,0.6658602150537635,Train error: 0.18157181571815717,Test error: 0.34065934065934067,9,4
"RandomForestClassifier(max_depth=5, n_estimators=9)",0.6263736263736264,0.4482758620689655,0.41935483870967744,0.4333333333333333,0.6642473118279569,Train error: 0.13279132791327908,Test error: 0.37362637362637363,9,5
"RandomForestClassifier(max_depth=6, n_estimators=9)",0.5714285714285714,0.36666666666666664,0.3548387096774194,0.36065573770491804,0.6188172043010752,Train error: 0.0840108401084011,Test error: 0.4285714285714286,9,6
"RandomForestClassifier(max_depth=7, n_estimators=9)",0.6593406593406593,0.5,0.41935483870967744,0.45614035087719296,0.6774193548387096,Train error: 0.07859078590785906,Test error: 0.34065934065934067,9,7
"RandomForestClassifier(max_depth=8, n_estimators=9)",0.6703296703296703,0.52,0.41935483870967744,0.46428571428571425,0.6776881720430108,Train error: 0.046070460704607075,Test error: 0.3296703296703297,9,8
"RandomForestClassifier(max_depth=9, n_estimators=9)",0.6263736263736264,0.4482758620689655,0.41935483870967744,0.4333333333333333,0.6696236559139785,Train error: 0.024390243902439046,Test error: 0.37362637362637363,9,9
