Model,Accuracy,Precision,Recall,F1,ROC_AUC,Train Error,Test Error,C,kernel,degree,gamma
"SVC(C=0.001, degree=1, gamma=10.0, kernel='poly', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.001,poly,1,10.0
"SVC(C=0.001, degree=1, gamma=100.0, kernel='poly', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.001,poly,1,100.0
"SVC(C=0.001, degree=2, gamma=0.001, kernel='poly', probability=True)",0.8407079646017699,1.0,0.5714285714285714,0.7272727272727273,0.9721663313212608,Train error: 0.2070484581497798,Test error: 0.15929203539823011,0.001,poly,2,0.001
"SVC(C=0.001, degree=2, gamma=0.01, kernel='poly', probability=True)",0.9469026548672567,0.95,0.9047619047619048,0.9268292682926829,0.9862508383635143,Train error: 0.11013215859030834,Test error: 0.053097345132743334,0.001,poly,2,0.01
"SVC(C=0.001, degree=2, gamma=0.1, kernel='poly', probability=True)",0.9646017699115044,1.0,0.9047619047619048,0.9500000000000001,0.9688128772635815,Train error: 0.05726872246696035,Test error: 0.03539823008849563,0.001,poly,2,0.1
"SVC(C=0.001, degree=2, gamma=1.0, kernel='poly', probability=True)",0.9646017699115044,1.0,0.9047619047619048,0.9500000000000001,0.9634473507712944,Train error: 0.03083700440528636,Test error: 0.03539823008849563,0.001,poly,2,1.0
"SVC(C=0.001, degree=2, gamma=10.0, kernel='poly', probability=True)",0.9911504424778761,0.9767441860465116,1.0,0.988235294117647,1.0,Train error: 0.0066079295154185536,Test error: 0.008849557522123908,0.001,poly,2,10.0
"SVC(C=0.001, degree=2, gamma=100.0, kernel='poly', probability=True)",0.9734513274336283,0.9534883720930233,0.9761904761904762,0.9647058823529412,0.9755197853789404,Train error: 0.0,Test error: 0.026548672566371723,0.001,poly,2,100.0
"SVC(C=0.001, gamma=0.001, kernel='poly', probability=True)",0.8849557522123894,0.967741935483871,0.7142857142857143,0.821917808219178,0.9788732394366197,Train error: 0.15859030837004406,Test error: 0.11504424778761058,0.001,poly,3,0.001
"SVC(C=0.001, gamma=0.01, kernel='poly', probability=True)",0.9646017699115044,1.0,0.9047619047619048,0.9500000000000001,0.9480214621059692,Train error: 0.0770925110132159,Test error: 0.03539823008849563,0.001,poly,3,0.01
"SVC(C=0.001, gamma=0.1, kernel='poly', probability=True)",0.9557522123893806,1.0,0.8809523809523809,0.9367088607594937,0.9748490945674044,Train error: 0.017621145374449365,Test error: 0.04424778761061943,0.001,poly,3,0.1
"SVC(C=0.001, gamma=1.0, kernel='poly', probability=True)",0.9292035398230089,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9289067739771966,Train error: 0.0,Test error: 0.07079646017699115,0.001,poly,3,1.0
"SVC(C=0.001, gamma=10.0, kernel='poly', probability=True)",0.9292035398230089,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9289067739771966,Train error: 0.0,Test error: 0.07079646017699115,0.001,poly,3,10.0
"SVC(C=0.001, gamma=100.0, kernel='poly', probability=True)",0.9380530973451328,0.926829268292683,0.9047619047619048,0.9156626506024096,0.9285714285714286,Train error: 0.0,Test error: 0.06194690265486724,0.001,poly,3,100.0
