Model,Accuracy,Precision,Recall,F1,ROC_AUC,Train Error,Test Error,C,kernel,degree,gamma
"SVC(C=0.1, degree=2, gamma=0.1, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9728370221327967,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,rbf,2,0.1
"SVC(C=0.1, degree=2, gamma=1.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.8698859825620389,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,rbf,2,1.0
"SVC(C=0.1, degree=2, gamma=10.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.25788061703554666,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,rbf,2,10.0
"SVC(C=0.1, degree=2, gamma=100.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,rbf,2,100.0
"SVC(C=0.1, gamma=0.001, probability=True)",0.9380530973451328,0.926829268292683,0.9047619047619048,0.9156626506024096,0.9771965124077799,Train error: 0.1277533039647577,Test error: 0.06194690265486724,0.1,rbf,3,0.001
"SVC(C=0.1, gamma=0.01, probability=True)",0.9557522123893806,0.9302325581395349,0.9523809523809523,0.9411764705882352,0.9782025486250838,Train error: 0.12114537444933926,Test error: 0.04424778761061943,0.1,rbf,3,0.01
"SVC(C=0.1, gamma=0.1, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9728370221327967,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,rbf,3,0.1
"SVC(C=0.1, gamma=1.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.8779342723004695,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,rbf,3,1.0
"SVC(C=0.1, gamma=10.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.26425217974513754,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,rbf,3,10.0
"SVC(C=0.1, gamma=100.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,rbf,3,100.0
"SVC(C=0.1, degree=4, gamma=0.001, probability=True)",0.9380530973451328,0.926829268292683,0.9047619047619048,0.9156626506024096,0.9771965124077799,Train error: 0.1277533039647577,Test error: 0.06194690265486724,0.1,rbf,4,0.001
"SVC(C=0.1, degree=4, gamma=0.01, probability=True)",0.9557522123893806,0.9302325581395349,0.9523809523809523,0.9411764705882352,0.9782025486250838,Train error: 0.12114537444933926,Test error: 0.04424778761061943,0.1,rbf,4,0.01
"SVC(C=0.1, degree=4, gamma=0.1, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9728370221327967,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,rbf,4,0.1
"SVC(C=0.1, degree=4, gamma=1.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9069416498993963,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,rbf,4,1.0
"SVC(C=0.1, degree=4, gamma=10.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.25788061703554666,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,rbf,4,10.0
"SVC(C=0.1, degree=4, gamma=100.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,rbf,4,100.0
"SVC(C=0.1, degree=5, gamma=0.001, probability=True)",0.9380530973451328,0.926829268292683,0.9047619047619048,0.9156626506024096,0.9771965124077799,Train error: 0.1277533039647577,Test error: 0.06194690265486724,0.1,rbf,5,0.001
"SVC(C=0.1, degree=5, gamma=0.01, probability=True)",0.9557522123893806,0.9302325581395349,0.9523809523809523,0.9411764705882352,0.9782025486250838,Train error: 0.12114537444933926,Test error: 0.04424778761061943,0.1,rbf,5,0.01
"SVC(C=0.1, degree=5, gamma=0.1, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9728370221327967,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,rbf,5,0.1
"SVC(C=0.1, degree=5, gamma=1.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9069416498993963,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,rbf,5,1.0
"SVC(C=0.1, degree=5, gamma=10.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.25788061703554666,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,rbf,5,10.0
"SVC(C=0.1, degree=5, gamma=100.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,rbf,5,100.0
"SVC(C=0.1, degree=1, gamma=0.001, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.1,linear,1,0.001
"SVC(C=0.1, degree=1, gamma=0.01, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.1,linear,1,0.01
"SVC(C=0.1, degree=1, gamma=0.1, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.1,linear,1,0.1
"SVC(C=0.1, degree=1, gamma=1.0, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.1,linear,1,1.0
"SVC(C=0.1, degree=1, gamma=10.0, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.1,linear,1,10.0
"SVC(C=0.1, degree=1, gamma=100.0, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.1,linear,1,100.0
"SVC(C=0.1, degree=2, gamma=0.001, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.1,linear,2,0.001
"SVC(C=0.1, degree=2, gamma=0.01, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.1,linear,2,0.01
"SVC(C=0.1, degree=2, gamma=0.1, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.1,linear,2,0.1
"SVC(C=0.1, degree=2, gamma=1.0, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.1,linear,2,1.0
"SVC(C=0.1, degree=2, gamma=10.0, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.1,linear,2,10.0
"SVC(C=0.1, degree=2, gamma=100.0, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.1,linear,2,100.0
"SVC(C=0.1, gamma=0.001, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.1,linear,3,0.001
"SVC(C=0.1, gamma=0.01, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.1,linear,3,0.01
"SVC(C=0.1, gamma=0.1, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.1,linear,3,0.1
"SVC(C=0.1, gamma=1.0, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.1,linear,3,1.0
"SVC(C=0.1, gamma=10.0, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.1,linear,3,10.0
"SVC(C=0.1, gamma=100.0, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.1,linear,3,100.0
"SVC(C=0.1, degree=4, gamma=0.001, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.1,linear,4,0.001
"SVC(C=0.1, degree=4, gamma=0.01, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.1,linear,4,0.01
"SVC(C=0.1, degree=4, gamma=0.1, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.1,linear,4,0.1
"SVC(C=0.1, degree=4, gamma=1.0, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.1,linear,4,1.0
"SVC(C=0.1, degree=4, gamma=10.0, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.1,linear,4,10.0
"SVC(C=0.1, degree=4, gamma=100.0, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.1,linear,4,100.0
"SVC(C=0.1, degree=5, gamma=0.001, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.1,linear,5,0.001
"SVC(C=0.1, degree=5, gamma=0.01, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.1,linear,5,0.01
"SVC(C=0.1, degree=5, gamma=0.1, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.1,linear,5,0.1
"SVC(C=0.1, degree=5, gamma=1.0, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.1,linear,5,1.0
"SVC(C=0.1, degree=5, gamma=10.0, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.1,linear,5,10.0
"SVC(C=0.1, degree=5, gamma=100.0, kernel='linear', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.1,linear,5,100.0
"SVC(C=0.1, degree=1, gamma=0.001, kernel='poly', probability=True)",0.9292035398230089,0.9473684210526315,0.8571428571428571,0.9,0.976861167002012,Train error: 0.14537444933920707,Test error: 0.07079646017699115,0.1,poly,1,0.001
"SVC(C=0.1, degree=1, gamma=0.01, kernel='poly', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9872568745808181,Train error: 0.10132158590308371,Test error: 0.03539823008849563,0.1,poly,1,0.01
"SVC(C=0.1, degree=1, gamma=0.1, kernel='poly', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.994299128101945,Train error: 0.07929515418502198,Test error: 0.017699115044247815,0.1,poly,1,0.1
"SVC(C=0.1, degree=1, gamma=1.0, kernel='poly', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9979879275653923,Train error: 0.048458149779735726,Test error: 0.017699115044247815,0.1,poly,1,1.0
"SVC(C=0.1, degree=1, gamma=10.0, kernel='poly', probability=True)",0.9734513274336283,1.0,0.9285714285714286,0.962962962962963,0.9973172367538565,Train error: 0.037444933920704804,Test error: 0.026548672566371723,0.1,poly,1,10.0
"SVC(C=0.1, degree=1, gamma=100.0, kernel='poly', probability=True)",0.9823008849557522,1.0,0.9523809523809523,0.975609756097561,0.9963112005365526,Train error: 0.024229074889867808,Test error: 0.017699115044247815,0.1,poly,1,100.0
"SVC(C=0.1, degree=2, gamma=0.001, kernel='poly', probability=True)",0.9469026548672567,0.95,0.9047619047619048,0.9268292682926829,0.9862508383635143,Train error: 0.11013215859030834,Test error: 0.053097345132743334,0.1,poly,2,0.001
"SVC(C=0.1, degree=2, gamma=0.01, kernel='poly', probability=True)",0.9646017699115044,1.0,0.9047619047619048,0.9500000000000001,0.9688128772635815,Train error: 0.05726872246696035,Test error: 0.03539823008849563,0.1,poly,2,0.01
"SVC(C=0.1, degree=2, gamma=0.1, kernel='poly', probability=True)",0.9646017699115044,1.0,0.9047619047619048,0.9500000000000001,0.9634473507712944,Train error: 0.03083700440528636,Test error: 0.03539823008849563,0.1,poly,2,0.1
"SVC(C=0.1, degree=2, gamma=1.0, kernel='poly', probability=True)",0.9911504424778761,0.9767441860465116,1.0,0.988235294117647,1.0,Train error: 0.008810572687224627,Test error: 0.008849557522123908,0.1,poly,2,1.0
"SVC(C=0.1, degree=2, gamma=10.0, kernel='poly', probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9751844399731725,Train error: 0.0022026431718061845,Test error: 0.03539823008849563,0.1,poly,2,10.0
"SVC(C=0.1, degree=2, gamma=100.0, kernel='poly', probability=True)",0.9734513274336283,0.9534883720930233,0.9761904761904762,0.9647058823529412,0.9755197853789404,Train error: 0.0,Test error: 0.026548672566371723,0.1,poly,2,100.0
"SVC(C=0.1, gamma=0.001, kernel='poly', probability=True)",0.9646017699115044,0.975,0.9285714285714286,0.951219512195122,0.9661301140174379,Train error: 0.1035242290748899,Test error: 0.03539823008849563,0.1,poly,3,0.001
"SVC(C=0.1, gamma=0.01, kernel='poly', probability=True)",0.9557522123893806,1.0,0.8809523809523809,0.9367088607594937,0.9517102615694165,Train error: 0.03083700440528636,Test error: 0.04424778761061943,0.1,poly,3,0.01
"SVC(C=0.1, gamma=0.1, kernel='poly', probability=True)",0.9380530973451328,0.926829268292683,0.9047619047619048,0.9156626506024096,0.9255533199195172,Train error: 0.0022026431718061845,Test error: 0.06194690265486724,0.1,poly,3,0.1
"SVC(C=0.1, gamma=1.0, kernel='poly', probability=True)",0.9292035398230089,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9289067739771966,Train error: 0.0,Test error: 0.07079646017699115,0.1,poly,3,1.0
"SVC(C=0.1, gamma=10.0, kernel='poly', probability=True)",0.9292035398230089,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9289067739771966,Train error: 0.0,Test error: 0.07079646017699115,0.1,poly,3,10.0
"SVC(C=0.1, gamma=100.0, kernel='poly', probability=True)",0.9380530973451328,0.926829268292683,0.9047619047619048,0.9156626506024096,0.9285714285714286,Train error: 0.0,Test error: 0.06194690265486724,0.1,poly,3,100.0
"SVC(C=0.1, degree=4, gamma=0.001, kernel='poly', probability=True)",0.9734513274336283,1.0,0.9285714285714286,0.962962962962963,0.9674714956405098,Train error: 0.08810572687224671,Test error: 0.026548672566371723,0.1,poly,4,0.001
"SVC(C=0.1, degree=4, gamma=0.01, kernel='poly', probability=True)",0.9734513274336283,1.0,0.9285714285714286,0.962962962962963,0.9523809523809523,Train error: 0.0066079295154185536,Test error: 0.026548672566371723,0.1,poly,4,0.01
"SVC(C=0.1, degree=4, gamma=0.1, kernel='poly', probability=True)",0.9380530973451328,0.8888888888888888,0.9523809523809523,0.9195402298850575,0.9704896042924211,Train error: 0.0,Test error: 0.06194690265486724,0.1,poly,4,0.1
"SVC(C=0.1, degree=4, gamma=1.0, kernel='poly', probability=True)",0.9292035398230089,0.8695652173913043,0.9523809523809523,0.909090909090909,0.9698189134808852,Train error: 0.0022026431718061845,Test error: 0.07079646017699115,0.1,poly,4,1.0
"SVC(C=0.1, degree=4, gamma=10.0, kernel='poly', probability=True)",0.9292035398230089,0.8695652173913043,0.9523809523809523,0.909090909090909,0.9701542588866532,Train error: 0.0,Test error: 0.07079646017699115,0.1,poly,4,10.0
"SVC(C=0.1, degree=4, gamma=100.0, kernel='poly', probability=True)",0.9380530973451328,0.8888888888888888,0.9523809523809523,0.9195402298850575,0.9704896042924211,Train error: 0.0,Test error: 0.06194690265486724,0.1,poly,4,100.0
"SVC(C=0.1, degree=5, gamma=0.001, kernel='poly', probability=True)",0.9557522123893806,1.0,0.8809523809523809,0.9367088607594937,0.9225352112676057,Train error: 0.08590308370044053,Test error: 0.04424778761061943,0.1,poly,5,0.001
"SVC(C=0.1, degree=5, gamma=0.01, kernel='poly', probability=True)",0.9557522123893806,0.9743589743589743,0.9047619047619048,0.9382716049382716,0.9225352112676056,Train error: 0.0022026431718061845,Test error: 0.04424778761061943,0.1,poly,5,0.01
"SVC(C=0.1, degree=5, gamma=0.1, kernel='poly', probability=True)",0.9380530973451328,0.8888888888888888,0.9523809523809523,0.9195402298850575,0.9627766599597585,Train error: 0.0,Test error: 0.06194690265486724,0.1,poly,5,0.1
"SVC(C=0.1, degree=5, gamma=1.0, kernel='poly', probability=True)",0.9469026548672567,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.959758551307847,Train error: 0.0,Test error: 0.053097345132743334,0.1,poly,5,1.0
"SVC(C=0.1, degree=5, gamma=10.0, kernel='poly', probability=True)",0.9380530973451328,0.8888888888888888,0.9523809523809523,0.9195402298850575,0.03219315895372234,Train error: 0.0,Test error: 0.06194690265486724,0.1,poly,5,10.0
"SVC(C=0.1, degree=5, gamma=100.0, kernel='poly', probability=True)",0.9469026548672567,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.0278336686787391,Train error: 0.0,Test error: 0.053097345132743334,0.1,poly,5,100.0
"SVC(C=0.1, degree=1, gamma=0.001, kernel='sigmoid', probability=True)",0.5309734513274337,0.0,0.0,0.0,0.9832327297116028,Train error: 0.473568281938326,Test error: 0.4690265486725663,0.1,sigmoid,1,0.001
"SVC(C=0.1, degree=1, gamma=0.01, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9845741113346747,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,sigmoid,1,0.01
"SVC(C=0.1, degree=1, gamma=0.1, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,sigmoid,1,0.1
"SVC(C=0.1, degree=1, gamma=1.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,sigmoid,1,1.0
"SVC(C=0.1, degree=1, gamma=10.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,sigmoid,1,10.0
"SVC(C=0.1, degree=1, gamma=100.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,sigmoid,1,100.0
"SVC(C=0.1, degree=2, gamma=0.001, kernel='sigmoid', probability=True)",0.5309734513274337,0.0,0.0,0.0,0.9832327297116028,Train error: 0.473568281938326,Test error: 0.4690265486725663,0.1,sigmoid,2,0.001
"SVC(C=0.1, degree=2, gamma=0.01, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9845741113346747,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,sigmoid,2,0.01
"SVC(C=0.1, degree=2, gamma=0.1, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,sigmoid,2,0.1
"SVC(C=0.1, degree=2, gamma=1.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,sigmoid,2,1.0
"SVC(C=0.1, degree=2, gamma=10.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,sigmoid,2,10.0
"SVC(C=0.1, degree=2, gamma=100.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,sigmoid,2,100.0
"SVC(C=0.1, gamma=0.001, kernel='sigmoid', probability=True)",0.5309734513274337,0.0,0.0,0.0,0.9832327297116028,Train error: 0.473568281938326,Test error: 0.4690265486725663,0.1,sigmoid,3,0.001
"SVC(C=0.1, gamma=0.01, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9845741113346747,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,sigmoid,3,0.01
"SVC(C=0.1, gamma=0.1, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,sigmoid,3,0.1
"SVC(C=0.1, gamma=1.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,sigmoid,3,1.0
"SVC(C=0.1, gamma=10.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,sigmoid,3,10.0
"SVC(C=0.1, gamma=100.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,sigmoid,3,100.0
"SVC(C=0.1, degree=4, gamma=0.001, kernel='sigmoid', probability=True)",0.5309734513274337,0.0,0.0,0.0,0.9832327297116028,Train error: 0.473568281938326,Test error: 0.4690265486725663,0.1,sigmoid,4,0.001
"SVC(C=0.1, degree=4, gamma=0.01, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9845741113346747,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,sigmoid,4,0.01
"SVC(C=0.1, degree=4, gamma=0.1, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,sigmoid,4,0.1
"SVC(C=0.1, degree=4, gamma=1.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,sigmoid,4,1.0
"SVC(C=0.1, degree=4, gamma=10.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,sigmoid,4,10.0
"SVC(C=0.1, degree=4, gamma=100.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,sigmoid,4,100.0
"SVC(C=0.1, degree=5, gamma=0.001, kernel='sigmoid', probability=True)",0.5309734513274337,0.0,0.0,0.0,0.9832327297116028,Train error: 0.473568281938326,Test error: 0.4690265486725663,0.1,sigmoid,5,0.001
"SVC(C=0.1, degree=5, gamma=0.01, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9845741113346747,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,sigmoid,5,0.01
"SVC(C=0.1, degree=5, gamma=0.1, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,sigmoid,5,0.1
"SVC(C=0.1, degree=5, gamma=1.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,sigmoid,5,1.0
"SVC(C=0.1, degree=5, gamma=10.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,sigmoid,5,10.0
"SVC(C=0.1, degree=5, gamma=100.0, kernel='sigmoid', probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.3722466960352423,Test error: 0.37168141592920356,0.1,sigmoid,5,100.0
"SVC(degree=1, gamma=0.001, probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9875922199865862,Train error: 0.10572687224669608,Test error: 0.03539823008849563,1.0,rbf,1,0.001
"SVC(degree=1, gamma=0.01, probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9916163648558014,Train error: 0.08370044052863435,Test error: 0.03539823008849563,1.0,rbf,1,0.01
"SVC(degree=1, gamma=0.1, probability=True)",0.9203539823008849,0.851063829787234,0.9523809523809523,0.898876404494382,0.9641180415828303,Train error: 0.022026431718061623,Test error: 0.07964601769911506,1.0,rbf,1,0.1
"SVC(degree=1, gamma=1.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9071093226022804,Train error: 0.0,Test error: 0.37168141592920356,1.0,rbf,1,1.0
"SVC(degree=1, gamma=10.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.2515090543259558,Train error: 0.0,Test error: 0.37168141592920356,1.0,rbf,1,10.0
"SVC(degree=1, gamma=100.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.0,Test error: 0.37168141592920356,1.0,rbf,1,100.0
"SVC(degree=2, gamma=0.001, probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9875922199865862,Train error: 0.10572687224669608,Test error: 0.03539823008849563,1.0,rbf,2,0.001
"SVC(degree=2, gamma=0.01, probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9916163648558014,Train error: 0.08370044052863435,Test error: 0.03539823008849563,1.0,rbf,2,0.01
"SVC(degree=2, gamma=0.1, probability=True)",0.9203539823008849,0.851063829787234,0.9523809523809523,0.898876404494382,0.9641180415828303,Train error: 0.022026431718061623,Test error: 0.07964601769911506,1.0,rbf,2,0.1
"SVC(degree=2, gamma=1.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.9071093226022804,Train error: 0.0,Test error: 0.37168141592920356,1.0,rbf,2,1.0
"SVC(degree=2, gamma=10.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.2463112005365527,Train error: 0.0,Test error: 0.37168141592920356,1.0,rbf,2,10.0
"SVC(degree=2, gamma=100.0, probability=True)",0.6283185840707964,0.0,0.0,0.0,0.5,Train error: 0.0,Test error: 0.37168141592920356,1.0,rbf,2,100.0
"SVC(gamma=0.001, probability=True)",0.9646017699115044,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9875922199865862,Train error: 0.10572687224669608,Test error: 0.03539823008849563,1.0,rbf,3,0.001
