Model,Accuracy,Precision,Recall,F1,ROC_AUC,Train Error,Test Error,max_depth,min_samples_split,min_samples_leaf
"DecisionTreeClassifier(max_depth=6, min_samples_split=3)",0.911504424778761,0.9,0.8571428571428571,0.8780487804878048,0.8668678739101273,0.011013215859030812,0.08849557522123896,6,3,1
"DecisionTreeClassifier(max_depth=6, min_samples_leaf=2, min_samples_split=3)",0.9469026548672567,0.9736842105263158,0.8809523809523809,0.925,0.9508718980549967,0.01541850220264318,0.053097345132743334,6,3,2
"DecisionTreeClassifier(max_depth=6, min_samples_leaf=3, min_samples_split=3)",0.9292035398230089,0.9473684210526315,0.8571428571428571,0.9,0.9502012072434607,0.017621145374449365,0.07079646017699115,6,3,3
"DecisionTreeClassifier(max_depth=6, min_samples_leaf=4, min_samples_split=3)",0.9292035398230089,0.9473684210526315,0.8571428571428571,0.9,0.9502012072434607,0.022026431718061623,0.07079646017699115,6,3,4
"DecisionTreeClassifier(max_depth=6, min_samples_split=4)",0.9292035398230089,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9114688128772637,0.013215859030836996,0.07079646017699115,6,4,1
"DecisionTreeClassifier(max_depth=6, min_samples_leaf=2, min_samples_split=4)",0.9469026548672567,0.9736842105263158,0.8809523809523809,0.925,0.9498658618376927,0.01541850220264318,0.053097345132743334,6,4,2
"DecisionTreeClassifier(max_depth=6, min_samples_leaf=3, min_samples_split=4)",0.9292035398230089,0.9473684210526315,0.8571428571428571,0.9,0.9379610999329309,0.017621145374449365,0.07079646017699115,6,4,3
"DecisionTreeClassifier(max_depth=6, min_samples_leaf=4, min_samples_split=4)",0.9292035398230089,0.9473684210526315,0.8571428571428571,0.9,0.9502012072434607,0.022026431718061623,0.07079646017699115,6,4,4
DecisionTreeClassifier(max_depth=7),0.9292035398230089,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9327632461435279,0.0022026431718061845,0.07079646017699115,7,2,1
"DecisionTreeClassifier(max_depth=7, min_samples_leaf=2)",0.9292035398230089,0.925,0.8809523809523809,0.9024390243902439,0.925720992622401,0.011013215859030812,0.07079646017699115,7,2,2
"DecisionTreeClassifier(max_depth=7, min_samples_leaf=3)",0.911504424778761,0.9444444444444444,0.8095238095238095,0.8717948717948718,0.9243796109993293,0.017621145374449365,0.08849557522123896,7,2,3
"DecisionTreeClassifier(max_depth=7, min_samples_leaf=4)",0.9292035398230089,0.9473684210526315,0.8571428571428571,0.9,0.9389671361502347,0.022026431718061623,0.07079646017699115,7,2,4
"DecisionTreeClassifier(max_depth=7, min_samples_split=3)",0.9292035398230089,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9327632461435279,0.0022026431718061845,0.07079646017699115,7,3,1
"DecisionTreeClassifier(max_depth=7, min_samples_leaf=2, min_samples_split=3)",0.911504424778761,0.9444444444444444,0.8095238095238095,0.8717948717948718,0.8955399061032864,0.011013215859030812,0.08849557522123896,7,3,2
"DecisionTreeClassifier(max_depth=7, min_samples_leaf=3, min_samples_split=3)",0.9292035398230089,0.9473684210526315,0.8571428571428571,0.9,0.9416498993963782,0.017621145374449365,0.07079646017699115,7,3,3
"DecisionTreeClassifier(max_depth=7, min_samples_leaf=4, min_samples_split=3)",0.911504424778761,0.9444444444444444,0.8095238095238095,0.8717948717948718,0.9113011401743796,0.022026431718061623,0.08849557522123896,7,3,4
"DecisionTreeClassifier(max_depth=7, min_samples_split=4)",0.9292035398230089,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9327632461435279,0.004405286343612369,0.07079646017699115,7,4,1
"DecisionTreeClassifier(max_depth=7, min_samples_leaf=2, min_samples_split=4)",0.9380530973451328,0.9487179487179487,0.8809523809523809,0.9135802469135802,0.9486921529175051,0.011013215859030812,0.06194690265486724,7,4,2
"DecisionTreeClassifier(max_depth=7, min_samples_leaf=3, min_samples_split=4)",0.9292035398230089,0.9473684210526315,0.8571428571428571,0.9,0.9522132796780685,0.017621145374449365,0.07079646017699115,7,4,3
"DecisionTreeClassifier(max_depth=7, min_samples_leaf=4, min_samples_split=4)",0.911504424778761,0.9444444444444444,0.8095238095238095,0.8717948717948718,0.9141515761234071,0.022026431718061623,0.08849557522123896,7,4,4
DecisionTreeClassifier(max_depth=8),0.8938053097345132,0.875,0.8333333333333334,0.8536585365853658,0.881455399061033,0.0,0.10619469026548678,8,2,1
"DecisionTreeClassifier(max_depth=8, min_samples_leaf=2)",0.911504424778761,0.9210526315789473,0.8333333333333334,0.875,0.9010731052984574,0.011013215859030812,0.08849557522123896,8,2,2
"DecisionTreeClassifier(max_depth=8, min_samples_leaf=3)",0.9292035398230089,0.9473684210526315,0.8571428571428571,0.9,0.9502012072434608,0.017621145374449365,0.07079646017699115,8,2,3
"DecisionTreeClassifier(max_depth=8, min_samples_leaf=4)",0.9292035398230089,0.9473684210526315,0.8571428571428571,0.9,0.9502012072434607,0.022026431718061623,0.07079646017699115,8,2,4
"DecisionTreeClassifier(max_depth=8, min_samples_split=3)",0.9203539823008849,0.8837209302325582,0.9047619047619048,0.8941176470588236,0.9171696847753185,0.0,0.07964601769911506,8,3,1
"DecisionTreeClassifier(max_depth=8, min_samples_leaf=2, min_samples_split=3)",0.911504424778761,0.9444444444444444,0.8095238095238095,0.8717948717948718,0.9111334674714957,0.011013215859030812,0.08849557522123896,8,3,2
"DecisionTreeClassifier(max_depth=8, min_samples_leaf=3, min_samples_split=3)",0.9292035398230089,0.9473684210526315,0.8571428571428571,0.9,0.9406438631790743,0.017621145374449365,0.07079646017699115,8,3,3
"DecisionTreeClassifier(max_depth=8, min_samples_leaf=4, min_samples_split=3)",0.911504424778761,0.9444444444444444,0.8095238095238095,0.8717948717948718,0.9267270288397049,0.022026431718061623,0.08849557522123896,8,3,4
"DecisionTreeClassifier(max_depth=8, min_samples_split=4)",0.9203539823008849,0.8837209302325582,0.9047619047619048,0.8941176470588236,0.9171696847753185,0.0022026431718061845,0.07964601769911506,8,4,1
"DecisionTreeClassifier(max_depth=8, min_samples_leaf=2, min_samples_split=4)",0.9292035398230089,0.9722222222222222,0.8333333333333334,0.8974358974358975,0.9166666666666666,0.011013215859030812,0.07079646017699115,8,4,2
"DecisionTreeClassifier(max_depth=8, min_samples_leaf=3, min_samples_split=4)",0.9292035398230089,0.9473684210526315,0.8571428571428571,0.9,0.9396378269617706,0.017621145374449365,0.07079646017699115,8,4,3
"DecisionTreeClassifier(max_depth=8, min_samples_leaf=4, min_samples_split=4)",0.9292035398230089,0.9473684210526315,0.8571428571428571,0.9,0.9510395707578806,0.022026431718061623,0.07079646017699115,8,4,4
