Model,Accuracy,Precision,Recall,F1,ROC_AUC,Train Error,Test Error,C,kernel,gamma
"SVC(C=0.1, gamma=100.0, kernel='sigmoid', probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.34688346883468835,0.34065934065934067,0.1,sigmoid,100.0
"SVC(gamma=0.001, probability=True)",0.6483516483516484,0.4782608695652174,0.3548387096774194,0.40740740740740744,0.6618279569892473,0.2357723577235772,0.3516483516483516,1.0,rbf,0.001
"SVC(gamma=0.01, probability=True)",0.6153846153846154,0.3,0.0967741935483871,0.14634146341463414,0.5849462365591398,0.046070460704607075,0.3846153846153846,1.0,rbf,0.01
"SVC(gamma=0.1, probability=True)",0.6593406593406593,0.0,0.0,0.0,0.4344086021505376,0.0,0.34065934065934067,1.0,rbf,0.1
"SVC(gamma=1.0, probability=True)",0.6593406593406593,0.0,0.0,0.0,0.45,0.0,0.34065934065934067,1.0,rbf,1.0
"SVC(gamma=10.0, probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.0,0.34065934065934067,1.0,rbf,10.0
"SVC(gamma=100.0, probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.0,0.34065934065934067,1.0,rbf,100.0
"SVC(gamma=0.001, kernel='linear', probability=True)",0.6703296703296703,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.7344086021505376,0.2520325203252033,0.3296703296703297,1.0,linear,0.001
"SVC(gamma=0.01, kernel='linear', probability=True)",0.6703296703296703,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.7344086021505376,0.2520325203252033,0.3296703296703297,1.0,linear,0.01
"SVC(gamma=0.1, kernel='linear', probability=True)",0.6703296703296703,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.7341397849462366,0.2520325203252033,0.3296703296703297,1.0,linear,0.1
"SVC(gamma=1.0, kernel='linear', probability=True)",0.6703296703296703,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.7338709677419355,0.2520325203252033,0.3296703296703297,1.0,linear,1.0
"SVC(gamma=10.0, kernel='linear', probability=True)",0.6703296703296703,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.7344086021505376,0.2520325203252033,0.3296703296703297,1.0,linear,10.0
"SVC(gamma=100.0, kernel='linear', probability=True)",0.6703296703296703,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.7344086021505376,0.2520325203252033,0.3296703296703297,1.0,linear,100.0
"SVC(gamma=0.001, kernel='sigmoid', probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5327956989247312,0.34688346883468835,0.34065934065934067,1.0,sigmoid,0.001
"SVC(gamma=0.01, kernel='sigmoid', probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.34688346883468835,0.34065934065934067,1.0,sigmoid,0.01
"SVC(gamma=0.1, kernel='sigmoid', probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.34688346883468835,0.34065934065934067,1.0,sigmoid,0.1
"SVC(gamma=1.0, kernel='sigmoid', probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.34688346883468835,0.34065934065934067,1.0,sigmoid,1.0
"SVC(gamma=10.0, kernel='sigmoid', probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.34688346883468835,0.34065934065934067,1.0,sigmoid,10.0
"SVC(gamma=100.0, kernel='sigmoid', probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.34688346883468835,0.34065934065934067,1.0,sigmoid,100.0
"SVC(C=10.0, gamma=0.001, probability=True)",0.6263736263736264,0.45454545454545453,0.4838709677419355,0.46874999999999994,0.65,0.12195121951219512,0.37362637362637363,10.0,rbf,0.001
"SVC(C=10.0, gamma=0.01, probability=True)",0.5824175824175825,0.3333333333333333,0.22580645161290322,0.2692307692307692,0.5650537634408601,0.0027100271002710175,0.41758241758241754,10.0,rbf,0.01
"SVC(C=10.0, gamma=0.1, probability=True)",0.6593406593406593,0.0,0.0,0.0,0.43629032258064515,0.0,0.34065934065934067,10.0,rbf,0.1
"SVC(C=10.0, gamma=1.0, probability=True)",0.6593406593406593,0.0,0.0,0.0,0.4422043010752688,0.0,0.34065934065934067,10.0,rbf,1.0
"SVC(C=10.0, gamma=10.0, probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.0,0.34065934065934067,10.0,rbf,10.0
"SVC(C=10.0, gamma=100.0, probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.0,0.34065934065934067,10.0,rbf,100.0
"SVC(C=10.0, gamma=0.001, kernel='linear', probability=True)",0.6593406593406593,0.5,0.5161290322580645,0.5079365079365079,0.7344086021505376,0.2520325203252033,0.34065934065934067,10.0,linear,0.001
"SVC(C=10.0, gamma=0.01, kernel='linear', probability=True)",0.6593406593406593,0.5,0.5161290322580645,0.5079365079365079,0.7344086021505376,0.2520325203252033,0.34065934065934067,10.0,linear,0.01
"SVC(C=10.0, gamma=0.1, kernel='linear', probability=True)",0.6593406593406593,0.5,0.5161290322580645,0.5079365079365079,0.7344086021505376,0.2520325203252033,0.34065934065934067,10.0,linear,0.1
"SVC(C=10.0, gamma=1.0, kernel='linear', probability=True)",0.6593406593406593,0.5,0.5161290322580645,0.5079365079365079,0.7344086021505376,0.2520325203252033,0.34065934065934067,10.0,linear,1.0
"SVC(C=10.0, gamma=10.0, kernel='linear', probability=True)",0.6593406593406593,0.5,0.5161290322580645,0.5079365079365079,0.7344086021505376,0.2520325203252033,0.34065934065934067,10.0,linear,10.0
"SVC(C=10.0, gamma=100.0, kernel='linear', probability=True)",0.6593406593406593,0.5,0.5161290322580645,0.5079365079365079,0.7344086021505376,0.2520325203252033,0.34065934065934067,10.0,linear,100.0
"SVC(C=10.0, gamma=0.001, kernel='sigmoid', probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5005376344086021,0.34688346883468835,0.34065934065934067,10.0,sigmoid,0.001
"SVC(C=10.0, gamma=0.01, kernel='sigmoid', probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.34688346883468835,0.34065934065934067,10.0,sigmoid,0.01
"SVC(C=10.0, gamma=0.1, kernel='sigmoid', probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.34688346883468835,0.34065934065934067,10.0,sigmoid,0.1
"SVC(C=10.0, gamma=1.0, kernel='sigmoid', probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.34688346883468835,0.34065934065934067,10.0,sigmoid,1.0
"SVC(C=10.0, gamma=10.0, kernel='sigmoid', probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.34688346883468835,0.34065934065934067,10.0,sigmoid,10.0
"SVC(C=10.0, gamma=100.0, kernel='sigmoid', probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.34688346883468835,0.34065934065934067,10.0,sigmoid,100.0
"SVC(C=100.0, gamma=0.001, probability=True)",0.6483516483516484,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.6338709677419354,0.04065040650406504,0.3516483516483516,100.0,rbf,0.001
"SVC(C=100.0, gamma=0.01, probability=True)",0.5934065934065934,0.35,0.22580645161290322,0.2745098039215686,0.5688172043010753,0.0,0.4065934065934066,100.0,rbf,0.01
"SVC(C=100.0, gamma=0.1, probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5655913978494623,0.0,0.34065934065934067,100.0,rbf,0.1
"SVC(C=100.0, gamma=1.0, probability=True)",0.6593406593406593,0.0,0.0,0.0,0.4422043010752688,0.0,0.34065934065934067,100.0,rbf,1.0
"SVC(C=100.0, gamma=10.0, probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.0,0.34065934065934067,100.0,rbf,10.0
"SVC(C=100.0, gamma=100.0, probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.0,0.34065934065934067,100.0,rbf,100.0
"SVC(C=100.0, gamma=0.001, kernel='linear', probability=True)",0.6263736263736264,0.45161290322580644,0.45161290322580644,0.45161290322580644,0.7077956989247312,0.24661246612466126,0.37362637362637363,100.0,linear,0.001
"SVC(C=100.0, gamma=0.01, kernel='linear', probability=True)",0.6263736263736264,0.45161290322580644,0.45161290322580644,0.45161290322580644,0.7075268817204301,0.24661246612466126,0.37362637362637363,100.0,linear,0.01
"SVC(C=100.0, gamma=0.1, kernel='linear', probability=True)",0.6263736263736264,0.45161290322580644,0.45161290322580644,0.45161290322580644,0.7075268817204301,0.24661246612466126,0.37362637362637363,100.0,linear,0.1
"SVC(C=100.0, gamma=1.0, kernel='linear', probability=True)",0.6263736263736264,0.45161290322580644,0.45161290322580644,0.45161290322580644,0.7075268817204301,0.24661246612466126,0.37362637362637363,100.0,linear,1.0
"SVC(C=100.0, gamma=10.0, kernel='linear', probability=True)",0.6263736263736264,0.45161290322580644,0.45161290322580644,0.45161290322580644,0.7075268817204301,0.24661246612466126,0.37362637362637363,100.0,linear,10.0
"SVC(C=100.0, gamma=100.0, kernel='linear', probability=True)",0.6263736263736264,0.45161290322580644,0.45161290322580644,0.45161290322580644,0.7075268817204301,0.24661246612466126,0.37362637362637363,100.0,linear,100.0
"SVC(C=100.0, gamma=0.001, kernel='sigmoid', probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5327956989247312,0.34688346883468835,0.34065934065934067,100.0,sigmoid,0.001
"SVC(C=100.0, gamma=0.01, kernel='sigmoid', probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.34688346883468835,0.34065934065934067,100.0,sigmoid,0.01
"SVC(C=100.0, gamma=0.1, kernel='sigmoid', probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.34688346883468835,0.34065934065934067,100.0,sigmoid,0.1
"SVC(C=100.0, gamma=1.0, kernel='sigmoid', probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.34688346883468835,0.34065934065934067,100.0,sigmoid,1.0
"SVC(C=100.0, gamma=10.0, kernel='sigmoid', probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.34688346883468835,0.34065934065934067,100.0,sigmoid,10.0
"SVC(C=100.0, gamma=100.0, kernel='sigmoid', probability=True)",0.6593406593406593,0.0,0.0,0.0,0.5,0.34688346883468835,0.34065934065934067,100.0,sigmoid,100.0
